timestamp,connection_requests,bytes_per_second,active_malicious_blocked
2026-09-14 00:00:00,154,14250.0,2
2026-09-14 00:01:00,162,15610.0,1
2026-09-14 00:02:00,148,13980.0,0
2026-09-14 00:03:00,150,14120.0,4
2026-09-14 00:04:00,172,16850.0,2
2026-09-14 00:05:00,135,12440.0,1
2026-09-14 00:06:00,166,15900.0,3
2026-09-14 00:07:00,158,14110.0,2
2026-09-14 00:08:00,142,13220.0,0
2026-09-14 00:09:00,149,13900.0,1
2026-09-14 00:10:00,181,17440.0,5
2026-09-14 00:11:00,165,15210.0,2
2026-09-14 00:12:00,152,14330.0,1
2026-09-14 00:13:00,139,12990.0,4
2026-09-14 00:14:00,161,15120.0,2
2026-09-14 00:15:00,147,13770.0,0
2026-09-14 00:16:00,589,62450.0,8
2026-09-14 00:17:00,174,16110.0,3
2026-09-14 00:18:00,153,14050.0,2
2026-09-14 00:19:00,140,13100.0,1
2026-09-14 00:20:00,162,15220.0,2
2026-09-14 00:21:00,155,14890.0,3
2026-09-14 00:22:00,146,13440.0,0
2026-09-14 00:23:00,151,14190.0,1
2026-09-14 00:24:00,168,15770.0,4
2026-09-14 00:25:00,137,12850.0,2
2026-09-14 00:26:00,159,14920.0,1
2026-09-14 00:27:00,144,13600.0,2
2026-09-14 00:28:00,163,15330.0,3
2026-09-14 00:29:00,150,14100.0,0
2026-09-14 00:30:00,171,16250.0,1
2026-09-14 00:31:00,152,14390.0,5
2026-09-14 00:32:00,138,12950.0,2
2026-09-14 00:33:00,160,15050.0,1
2026-09-14 00:34:00,185,16200.0,742
2026-09-14 00:35:00,149,13880.0,4
2026-09-14 00:36:00,164,15440.0,2
2026-09-14 00:37:00,141,13150.0,1
2026-09-14 00:38:00,157,14720.0,3
2026-09-14 00:39:00,170,16190.0,0
2026-09-14 00:40:00,143,13250.0,2
2026-09-14 00:41:00,156,14600.0,1
2026-09-14 00:42:00,169,15990.0,4
2026-09-14 00:43:00,136,12710.0,2
2026-09-14 00:44:00,161,15150.0,1
2026-09-14 00:45:00,145,13550.0,3
2026-09-14 00:46:00,152,14200.0,0
2026-09-14 00:47:00,167,15800.0,2
2026-09-14 00:48:00,140,13080.0,1
2026-09-14 00:49:00,159,14950.0,2
